DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,PALMEIRÓPOLIS,Cerrado,71,0.0,1.0,-13.08564,-48.45525,39.3
2024/09/15 17:07:00,AQUA_M-T,Brasil,TOCANTINS,PALMEIRÓPOLIS,Cerrado,83,0.0,1.0,-13.0741,-48.48457,42.1
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,VILA PROPÍCIO,Cerrado,102,0.0,1.0,-15.0654,-48.71792,199.4
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,VILA PROPÍCIO,Cerrado,102,0.0,1.0,-15.06199,-48.68759,86.3
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,VILA PROPÍCIO,Cerrado,102,0.0,1.0,-15.0619,-48.71079,224.2
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,VILA PROPÍCIO,Cerrado,102,0.0,1.0,-15.05003,-48.72029,126.6
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,VILA PROPÍCIO,Cerrado,102,0.0,1.0,-15.04656,-48.71347,168.0
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,VILA PROPÍCIO,Cerrado,102,0.0,1.0,-15.03465,-48.72262,54.2
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,URUAÇU,Cerrado,31,0.0,1.0,-14.58854,-49.16505,146.9
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,URUAÇU,Cerrado,32,0.0,1.0,-14.58482,-49.13239,854.8
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,URUAÇU,Cerrado,31,0.0,1.0,-14.58248,-49.15842,660.0
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,URUAÇU,Cerrado,32,0.0,1.0,-14.58113,-49.09991,78.2
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,URUAÇU,Cerrado,30,0.0,1.0,-14.57898,-49.12547,1343.5
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,URUAÇU,Cerrado,29,0.0,1.0,-14.57556,-49.09337,60.7
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,URUAÇU,Cerrado,31,0.0,1.0,-14.57262,-49.16641,102.1
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,URUAÇU,Cerrado,29,0.0,1.0,-14.56884,-49.13283,947.8
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,URUAÇU,Cerrado,24,0.0,1.0,-14.56533,-49.1016,192.4
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,URUAÇU,Cerrado,27,0.0,1.0,-14.56311,-49.12684,195.9
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,URUAÇU,Cerrado,20,0.0,1.0,-14.55978,-49.09518,80.9
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,SÃO DOMINGOS DO CAPIM,Amazônia,9,0.0,0.76,-1.93512,-47.90311,18.8
2024/09/15 17:09:00,AQUA_M-T,Brasil,PARÁ,MOJU,Amazônia,3,0.1,0.42,-1.79381,-48.57869,33.9
